mainmenu.newgame,Nuova Partita
mainmenu.continue,Continua
mainmenu.customnight,Notte Personalizzata
mainmenu.options,Impostazioni
mainmenu.credits,Crediti
mainmenu.language,Lingua
mainmenu.layout,Layout
mainmenu.controls,Controlli
mainmenu.online,Online
mainmenu.analyticdata,Analisi dei dati
mainmenu.audio,Audio
mainmenu.volume,Volume
mainmenu.generalvolume,Volume generale
mainmenu.musicvolume,Volume musica
mainmenu.voicevolume,Volume voci
mainmenu.sfxvolume,Volume effetti sonori
mainmenu.update,"È disponibile una nuova versione, scaricala su itch.io !"
mainmenu.sharedata,Accetti alla condivisione di statistiche con Source Macchiato e The Latte Team
mainmenu.shareanalyticsdescription,Condivisione dell'analisi dei dati
mainmenu.motioncontrolsdescription,Motion controls del Wiimote
mainmenu.displaypointerdescription,Mostra il puntatore Wii
mainmenu.night,Notte 
customnight.customizenight,Personalizza la Notte
customnight.twenty,20/20/20/20
customnight.newandshiny,Nuovo e Lucente
customnight.doubletrouble,Doppio Guaio
customnight.nightofmisfits,Notte dei Disadattati
customnight.foxyfoxy,Foxy Foxy
customnight.ladiesnight,Serata tra Donne
customnight.freddyscircus,Circo di Freddy
customnight.cupcakechallenge,Sfida Cupcake
customnight.fazbearfever,Febbre Fazbear
customnight.goldenfreddy,Golden Freddy
customnight.ready,Pronto
difficulty.easy,Facile
difficulty.medium,Medio
difficulty.hard,Difficile
difficulty.extreme,Estremo
nextnight.firstnight,Prima Notte
nextnight.secondnight,Seconda Notte
nextnight.thirdnight,Terza Notte
nextnight.fourthnight,Quarta Notte
nextnight.fifthnight,Quinta Notte
nextnight.sixthnight,Sesta Notte
nextnight.seventhnight,Settima Notte
office.flashlight,torcia
office.useflashlight,"Tieni premuto <sprite name=""WiiU-A""> per usare la torcia."
camera.partyroomone,Sala delle feste 1
camera.partyroomtwo,Sala delle feste 2
camera.partyroomthree,Sala delle feste 3
camera.partyroomfour,Sala delle feste 4
camera.leftairvent,Presa d'aria sinistra
camera.rightairvent,Presa d'aria destra
camera.mainhall,Sala Principale
camera.partsservice,Officina
camera.showstage,Palcoscenico
camera.gamearea,Sala Giochi
camera.prizecorner,Banco dei Premi
camera.kidscove,Baia dei bambini
monitor.musicbox,Carillon a carica
monitor.holdmusicbox,"Tieni premuto <sprite name=""WiiU-B"">"
subtitle.phoneringtone,*Suoneria del Telefono*
nightone.phoneguy.lineone,"Uh, ciao? Salve, ciao? Uh, ciao e benvenuto al tuo nuovo lavoro estivo al nuovo e migliorato Freddy Fazbear's Pizza."
nightone.phoneguy.linetwo,"Uh, Sono qui per parlarti di alcune delle cose che puoi aspettarti di vedere durante la tua prima settimana qui"
nightone.phoneguy.linethree,e per aiutarti a iniziare questo nuovo ed entusiasmante percorso di carriera.
nightone.phoneguy.linefour,"Uh, ora, voglio che tu dimentichi tutto ciò che potresti aver sentito sulla vecchia posizione di lavoro, sai come."
nightone.phoneguy.linefive,"Uh, alcune persone hanno ancora un'impressione un po' negativa dell'azienda."
nightone.phoneguy.linesix,"Uh... quel vecchio ristorante è stato lasciato a marcire per un bel po', ma voglio rassicurarti,"
nightone.phoneguy.lineseven,"Fazbear Entertainment si impegna a garantire il divertimento in famiglia e, soprattutto, la sicurezza."
nightone.phoneguy.lineheight,"Hanno speso una piccola fortuna in questi nuovi animatronici, uh, nel riconoscimento facciale,"
nightone.phoneguy.linenine,"mobilità avanzata, li hanno anche lasciati camminare in giro durante il giorno. Non è magnifico? *si schiarisce la voce* Ma soppratutto,"
nightone.phoneguy.lineten,"sono tutti collegati a una specie di database criminale, così possono individuare un predatore a un miglio di distanza."
nightone.phoneguy.lineeleven,"Cavolo, dovremmo pagare loro per proteggere te."
nightone.phoneguy.linetwelve,"Uh, detto questo, nessun nuovo sistema ha i suoi... difetti."
nightone.phoneguy.linethirteen,Uh... sei solo la seconda guardia a lavorare in quel posto.
nightone.phoneguy.linefourteen,"Uh, la prima guardia ha finito la sua settimana, ma si è lamentato delle... condizioni di lavoro."
nightone.phoneguy.linefifteen,"Uh, lo abbiamo transferito al turno giornaliero, dunque hey, fortunato te, giusto?"
nightone.phoneguy.linesixteen,"Uh principalmente ha espresso preoccupazione per il fatto che alcuni personaggi sembrassero muoversi di notte,"
nightone.phoneguy.lineseventeen,"e persino tentare di entrare nel suo ufficio. Ora, da quello che sappiamo, quello dovrebbe essere impossibile."
nightone.phoneguy.lineeighteen,"Uh, quel ristorante dovrebbe essere il posto più sicuro sulla terra."
nightone.phoneguy.linenineteen,"Quindi, anche se i nostri ingegneri non hanno una vera spiegazione per questo, la nostra teoria è che..."
nightone.phoneguy.linetwenty,"i robot non hanno mai ricevuto una vera ""modalità notturna"". Dunque quando si fà silenzioso, credono di essere nella stanza sbagliata,"
nightone.phoneguy.linetwentyone,"dunque vanno a cercare dove si trovano le persone, e in questo caso, è il tuo ufficio."
nightone.phoneguy.linetwentytwo,"Dunque la nostra soluzione temporanea è questa: c'è un carillon vicino al Banco dei Premi,"
nightone.phoneguy.linetwentythree,ed è modificato per essere caricato a distanza.
nightone.phoneguy.linetwentyfour,"dunque, di tanto in tanto, passa alla trasmissione video del Banco dei Premi e caricalo per qualche secondo."
